,UTC,Timestamp,Timestamp_imu,Latitude_imu,Longitude_imu
0,2025-03-25 16:09:37+00:00,1742918977.3868475,1742918977.3868475,49.38424466666667,1.0687615
1,2025-03-25 16:09:38+00:00,1742918978.3366284,1742918978.3366284,49.38424533333333,1.068762
2,2025-03-25 16:09:39+00:00,1742918979.3178434,1742918979.3178434,49.38424583333333,1.0687623333333334
3,2025-03-25 16:09:40+00:00,1742918980.3532393,1742918980.3532393,49.38424216666667,1.068764
4,2025-03-25 16:09:41+00:00,1742918981.342456,1742918981.342456,49.38423866666667,1.0687675
5,2025-03-25 16:09:42+00:00,1742918982.3603003,1742918982.3603003,49.38423516666666,1.0687771666666666
6,2025-03-25 16:09:43+00:00,1742918983.3683703,1742918983.3683703,49.38423216666666,1.0687868333333332
7,2025-03-25 16:09:44+00:00,1742918984.3775623,1742918984.3775623,49.38422966666666,1.0687921666666669
8,2025-03-25 16:09:45+00:00,1742918985.3805742,1742918985.3805742,49.384228,1.0687988333333334
9,2025-03-25 16:09:46+00:00,1742918986.392132,1742918986.392132,49.384228,1.0688015
10,2025-03-25 16:09:47+00:00,1742918987.380864,1742918987.380864,49.38422783333333,1.0688045
11,2025-03-25 16:09:48+00:00,1742918988.343314,1742918988.343314,49.38422916666666,1.068807
12,2025-03-25 16:09:49+00:00,1742918989.397575,1742918989.397575,49.38423083333333,1.068809
13,2025-03-25 16:09:50+00:00,1742918990.3816764,1742918990.3816764,49.38423216666666,1.0688108333333333
14,2025-03-25 16:09:51+00:00,1742918991.3820837,1742918991.3820837,49.3842275,1.0688251666666666
15,2025-03-25 16:09:52+00:00,1742918992.3795478,1742918992.3795478,49.384221333333336,1.0688443333333333
16,2025-03-25 16:09:53+00:00,1742918993.3761802,1742918993.3761802,49.384214666666665,1.0688646666666666
17,2025-03-25 16:09:54+00:00,1742918994.3956254,1742918994.3956254,49.3842045,1.0688825
18,2025-03-25 16:09:55+00:00,1742918995.4166005,1742918995.4166005,49.38419366666667,1.068897
19,2025-03-25 16:09:56+00:00,1742918996.3994226,1742918996.3994226,49.3841875,1.068912
20,2025-03-25 16:09:57+00:00,1742918997.406135,1742918997.406135,49.384185333333335,1.0689258333333334
21,2025-03-25 16:09:58+00:00,1742918998.4036727,1742918998.4036727,49.3841835,1.068939
22,2025-03-25 16:09:59+00:00,1742918999.409345,1742918999.409345,49.384180666666666,1.068955
23,2025-03-25 16:10:00+00:00,1742919000.426718,1742919000.426718,49.3841755,1.0689718333333331
24,2025-03-25 16:10:01+00:00,1742919001.4109752,1742919001.4109752,49.384171,1.0689896666666667
25,2025-03-25 16:10:02+00:00,1742919002.4283454,1742919002.4283454,49.3841745,1.0690061666666666
26,2025-03-25 16:10:03+00:00,1742919003.376894,1742919003.376894,49.38417266666666,1.0690198333333334
27,2025-03-25 16:10:04+00:00,1742919004.3921506,1742919004.3921506,49.3841655,1.0690331666666666
28,2025-03-25 16:10:05+00:00,1742919005.4063838,1742919005.4063838,49.3841605,1.0690495
29,2025-03-25 16:10:06+00:00,1742919006.4210117,1742919006.4210117,49.38415583333333,1.0690666666666666
30,2025-03-25 16:10:07+00:00,1742919007.415398,1742919007.415398,49.38415283333333,1.0690831666666667
31,2025-03-25 16:10:08+00:00,1742919008.356259,1742919008.356259,49.3841535,1.0690876666666669
32,2025-03-25 16:10:09+00:00,1742919009.3599763,1742919009.3599763,49.3841535,1.069092
33,2025-03-25 16:10:10+00:00,1742919010.3658023,1742919010.3658023,49.38415283333333,1.0690978333333334
34,2025-03-25 16:10:11+00:00,1742919011.4011166,1742919011.4011166,49.38415,1.0691023333333334
35,2025-03-25 16:10:12+00:00,1742919012.3513618,1742919012.3513618,49.38414633333333,1.0691075
36,2025-03-25 16:10:13+00:00,1742919013.3859825,1742919013.3859825,49.38413966666667,1.0691101666666667
37,2025-03-25 16:10:14+00:00,1742919014.3490958,1742919014.3490958,49.38413483333333,1.069113
38,2025-03-25 16:10:15+00:00,1742919015.396665,1742919015.396665,49.38412533333333,1.0691161666666666
39,2025-03-25 16:10:16+00:00,1742919016.3621926,1742919016.3621926,49.384121666666665,1.0691228333333334
40,2025-03-25 16:10:17+00:00,1742919017.3874662,1742919017.3874662,49.384117,1.0691375
41,2025-03-25 16:10:18+00:00,1742919018.3368592,1742919018.3368592,49.3841145,1.0691478333333333
42,2025-03-25 16:10:19+00:00,1742919019.33822,1742919019.33822,49.38411166666667,1.0691555
43,2025-03-25 16:10:20+00:00,1742919020.349157,1742919020.349157,49.38410733333333,1.069169
44,2025-03-25 16:10:21+00:00,1742919021.3695924,1742919021.3695924,49.38409833333333,1.0691876666666666
45,2025-03-25 16:10:22+00:00,1742919022.3646276,1742919022.3646276,49.3840815,1.069213
46,2025-03-25 16:10:23+00:00,1742919023.3612602,1742919023.3612602,49.38406366666667,1.0692398333333333
47,2025-03-25 16:10:24+00:00,1742919024.3601985,1742919024.3601985,49.3840495,1.0692726666666668
48,2025-03-25 16:10:25+00:00,1742919025.3339996,1742919025.3339996,49.3840435,1.0693055
49,2025-03-25 16:10:26+00:00,1742919026.3842475,1742919026.3842475,49.384044333333335,1.0693333333333332
50,2025-03-25 16:10:27+00:00,1742919027.394016,1742919027.394016,49.38405433333333,1.0693585
51,2025-03-25 16:10:28+00:00,1742919028.3728364,1742919028.3728364,49.38406183333333,1.0693773333333334
52,2025-03-25 16:10:29+00:00,1742919029.3913825,1742919029.3913825,49.3840635,1.0693996666666667
53,2025-03-25 16:10:30+00:00,1742919030.3425229,1742919030.3425229,49.384062166666666,1.0694225
