Timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Magneto X,Magneto Y,Magneto Z
1742920099.322034,-0.8860859999999999,-0.034587,-0.19428499999999999,0.017568,-0.020252,0.026108,0.2624963460976323,-0.24203449283835135,0.03040046769950307
1742920099.3437037,-0.839604,-0.03477,-0.19428499999999999,0.018788,-0.038308,0.023667999999999998,0.2624963460976323,-0.24203449283835135,0.03040046769950307
1742920099.36062,-0.805078,-0.014884,-0.2074,0.016104,-0.059292,0.022448,0.2624963460976323,-0.24203449283835135,0.03040046769950307
1742920099.3799176,-0.772443,-0.008539999999999999,-0.228506,0.014152,-0.072956,0.023912,0.2624963460976323,-0.24203449283835135,0.03040046769950307
1742920099.4001658,-0.733403,-0.009333,-0.249917,0.012444,-0.082472,0.02562,0.2624963460976323,-0.24203449283835135,0.03040046769950307
1742920099.419001,-0.715042,-0.011041,-0.26809499999999997,0.01098,-0.086132,0.025376,0.2575270388775212,-0.24846536100555394,0.021923414206372407
1742920099.438355,-0.695522,-0.020801,-0.28255199999999997,0.009271999999999999,-0.082716,0.02318,0.2575270388775212,-0.24846536100555394,0.021923414206372407
1742920099.4571204,-0.693082,-0.012627,-0.29517899999999997,0.008052,-0.07198,0.023667999999999998,0.2575270388775212,-0.24846536100555394,0.021923414206372407
1742920099.4764044,-0.695827,-0.008296,-0.30719599999999997,0.008784,-0.057096,0.028059999999999998,0.2575270388775212,-0.24846536100555394,0.021923414206372407
1742920099.4957547,-0.772565,-0.020557,-0.323544,0.007076,-0.044164,0.039772,0.2575270388775212,-0.24846536100555394,0.021923414206372407
1742920099.515022,-0.834236,-0.030378,-0.34080699999999997,0.000488,-0.028304,0.055388,0.2575270388775212,-0.24846536100555394,0.021923414206372407
1742920099.534315,-0.881572,-0.044652,-0.355386,-0.005612,-0.012444,0.06344,0.2575270388775212,-0.24846536100555394,0.021923414206372407
1742920099.5558124,-0.987041,-0.028121,-0.379969,-0.010003999999999999,0.009516,0.055876,0.2575270388775212,-0.24846536100555394,0.021923414206372407
1742920099.5728955,-0.987041,-0.028121,-0.379969,-0.010003999999999999,0.009516,0.055876,0.2575270388775212,-0.24846536100555394,0.021923414206372407
1742920099.5921876,-1.029131,0.0060999999999999995,-0.394548,-0.007076,0.012444,0.052216,0.2575270388775212,-0.24846536100555394,0.021923414206372407
1742920099.6114771,-1.105808,0.021411,-0.405406,0.00488,0.007076,0.030744,0.2575270388775212,-0.24846536100555394,0.021923414206372407
1742920099.63078,-1.17242,0.014761999999999999,-0.406931,0.036844,0.005612,0.017811999999999998,0.24612686349020754,-0.2692195264542531,0.011254019292604502
1742920099.6500738,-1.203469,0.012565999999999999,-0.40211199999999997,0.048312,0.007076,0.00732,0.24612686349020754,-0.2692195264542531,0.011254019292604502
1742920099.6693633,-1.187182,0.056119999999999996,-0.375028,0.057828,0.0026839999999999998,-0.001464,0.24612686349020754,-0.2692195264542531,0.011254019292604502
1742920099.6886625,-1.074088,0.085827,-0.355935,0.066124,-0.008539999999999999,-0.010492,0.24612686349020754,-0.2692195264542531,0.011254019292604502
1742920099.707955,-1.107699,0.067771,-0.34690699999999997,0.071736,-0.019275999999999998,-0.015616,0.24612686349020754,-0.2692195264542531,0.011254019292604502
1742920099.7272584,-1.210789,0.040015999999999996,-0.352458,0.071004,-0.019764,-0.016347999999999998,0.24612686349020754,-0.2692195264542531,0.011254019292604502
1742920099.7465398,-1.2701419999999999,0.014213,-0.363194,0.06222,-0.010248,-0.014152,0.24612686349020754,-0.2692195264542531,0.011254019292604502
1742920099.768049,-1.199565,0.026413,-0.357277,0.045384,0.002928,-0.015127999999999999,0.24612686349020754,-0.2692195264542531,0.011254019292604502
1742920099.7851248,-1.06628,0.074298,-0.33214499999999997,0.031232,0.016104,-0.02318,0.24612686349020754,-0.2692195264542531,0.011254019292604502
1742920099.804421,-1.001498,0.124989,-0.302194,0.028304,0.021228,-0.025863999999999998,0.24612686349020754,-0.2692195264542531,0.011254019292604502
1742920099.8237104,-1.012295,0.137555,-0.280356,0.031476,0.020252,-0.012931999999999999,0.2513884828997369,-0.24904998538439052,0.02762350190002923
1742920099.8430047,-1.030961,0.157502,-0.269803,0.035136,0.017324,0.007076,0.2513884828997369,-0.24904998538439052,0.02762350190002923
1742920099.8622997,-0.997472,0.156526,-0.257664,0.041479999999999996,0.011712,0.019764,0.2513884828997369,-0.24904998538439052,0.02762350190002923
1742920099.881593,-0.94428,0.115412,-0.248697,0.048068,0.0026839999999999998,0.01952,0.2513884828997369,-0.24904998538439052,0.02762350190002923
1742920099.900893,-0.897798,0.081557,-0.238449,0.050996,-0.009516,0.007808,0.2513884828997369,-0.24904998538439052,0.02762350190002923
1742920099.920214,-0.8870009999999999,0.061671,-0.242231,0.048068,-0.018788,-0.007076,0.2513884828997369,-0.24904998538439052,0.02762350190002923
1742920099.9394827,-0.85949,0.072834,-0.256078,0.041236,-0.021228,-0.017324,0.2513884828997369,-0.24904998538439052,0.02762350190002923
1742920099.95878,-0.780434,0.084302,-0.258396,0.034648,-0.019275999999999998,-0.02196,0.2513884828997369,-0.24904998538439052,0.02762350190002923
1742920099.98212,-0.713456,0.0793,-0.259555,0.030744,-0.01586,-0.025131999999999998,0.2513884828997369,-0.24904998538439052,0.02762350190002923
1742920099.9974408,-0.7035129999999999,0.06527,-0.2623,0.027816,-0.01464,-0.028304,0.2513884828997369,-0.24904998538439052,0.02762350190002923
1742920100.0167103,-0.741333,0.05063,-0.272548,0.02562,-0.011467999999999999,-0.02928,0.2513884828997369,-0.24904998538439052,0.02762350190002923
1742920100.0360065,-0.7999539999999999,0.033672,-0.28377199999999997,0.02318,-0.005856,-0.025131999999999998,0.2624963460976323,-0.24144986845951477,0.03127740426775796
1742920100.0552983,-0.858819,0.032208,-0.297253,0.020739999999999998,0.001464,-0.0183,0.2624963460976323,-0.24144986845951477,0.03127740426775796
1742920100.074626,-0.8966999999999999,0.0366,-0.307928,0.017079999999999998,0.008784,-0.008784,0.2624963460976323,-0.24144986845951477,0.03127740426775796
1742920100.0939014,-0.9176839999999999,0.030378,-0.317444,0.011712,0.016592,0.0034159999999999998,0.2624963460976323,-0.24144986845951477,0.03127740426775796
1742920100.113195,-0.9250039999999999,0.033977,-0.324459,0.00732,0.024156,0.010248,0.2624963460976323,-0.24144986845951477,0.03127740426775796
1742920100.132489,-0.932446,0.050386,-0.323544,0.005124,0.027084,0.007808,0.2624963460976323,-0.24144986845951477,0.03127740426775796
1742920100.1517842,-0.977098,0.052886999999999997,-0.32757,0.003904,0.024399999999999998,-0.000244,0.2624963460976323,-0.24144986845951477,0.03127740426775796
1742920100.1710813,-1.002352,0.048678,-0.334524,-0.000732,0.018543999999999998,-0.008052,0.2624963460976323,-0.24144986845951477,0.03127740426775796
1742920100.1933138,-1.00101,0.049898,-0.338855,-0.007076,0.011712,-0.014395999999999999,0.2624963460976323,-0.24144986845951477,0.03127740426775796
1742920100.2096686,-1.009245,0.048799999999999996,-0.334829,-0.011712,0.0046359999999999995,-0.014884,0.2624963460976323,-0.24144986845951477,0.03127740426775796
1742920100.228956,-1.035353,0.05368,-0.331169,-0.016592,-0.0026839999999999998,-0.004148,0.2624963460976323,-0.23823443437591346,0.03244665302543116
1742920100.2482514,-1.048895,0.038308,-0.34019699999999997,-0.021228,-0.009516,0.016347999999999998,0.2624963460976323,-0.23823443437591346,0.03244665302543116
1742920100.2675476,-0.990518,-0.014213,-0.34660199999999997,-0.028548,-0.01952,0.0366,0.2624963460976323,-0.23823443437591346,0.03244665302543116
1742920100.2868383,-0.961726,-0.063013,-0.34568699999999997,-0.040015999999999996,-0.031232,0.04026,0.2624963460976323,-0.23823443437591346,0.03244665302543116
1742920100.306131,-1.022482,-0.097722,-0.335317,-0.059292,-0.044896,0.035868,0.2624963460976323,-0.23823443437591346,0.03244665302543116
1742920100.3254871,-1.110505,-0.07740899999999999,-0.337086,-0.085644,-0.049288,0.035868,0.2624963460976323,-0.23823443437591346,0.03244665302543116
1742920100.3447526,-1.180838,-0.028059999999999998,-0.349713,-0.105652,-0.03782,0.041724,0.2624963460976323,-0.23823443437591346,0.03244665302543116
1742920100.3640404,-1.134234,0.004392,-0.354227,-0.11102,-0.011956,0.042456,0.2624963460976323,-0.23823443437591346,0.03244665302543116
1742920100.383338,-1.0456619999999999,-0.008723,-0.336171,-0.108336,0.010248,0.030012,0.2624963460976323,-0.23823443437591346,0.03244665302543116
1742920100.4055812,-0.988688,-0.033184,-0.303658,-0.105896,0.02196,0.01098,0.2624963460976323,-0.23823443437591346,0.03244665302543116
