Timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
1741711146.621572,-0.943365,0.367525,0.1606739999999999,1.4525,-0.8925000000000001,0.44625
1741711146.6241777,-0.947879,0.367342,0.154696,2.12625,-1.6625,0.35875
1741711146.6272156,-0.948855,0.369355,0.153171,1.5837500000000002,-1.3825,0.77
1741711146.629583,-0.943914,0.369599,0.149877,-0.42875,-0.93625,1.3037500000000002
1741711146.6320298,-0.938302,0.369172,0.1486569999999999,-2.5025000000000004,-0.4725,1.5925000000000002
1741711146.634492,-0.935313,0.367037,0.1529879999999999,-3.535,-0.1225,1.4175000000000002
1741711146.6368563,-0.923967,0.362279,0.1640899999999999,-3.2025,0.0875,0.7175
1741711146.6391416,-0.926712,0.362584,0.159698,-1.995,0.16625,0.07
1741711146.6415868,-0.930372,0.365512,0.1640899999999999,-0.6300000000000001,-0.11375,-0.42
1741711146.644375,-0.944829,0.362523,0.163419,0.98875,-0.7175,-0.5337500000000001
1741711146.6467905,-0.950075,0.3592289999999999,0.156221,1.6887500000000002,-0.95375,0.0
1741711146.649397,-0.945683,0.365024,0.164273,1.785,-0.8925000000000001,0.6300000000000001
1741711146.652141,-0.951722,0.362706,0.1551229999999999,0.88375,-0.6737500000000001,1.26875
1741711146.6562145,-0.944829,0.368074,0.157258,-0.6737500000000001,0.105,1.9775000000000005
1741711146.6588004,-0.939644,0.368074,0.150975,-1.6800000000000002,0.6737500000000001,1.8025
1741711146.663035,-0.923235,0.365512,0.156282,-1.65375,0.7175,0.90125
1741711146.665279,-0.917501,0.363499,0.155611,-1.23375,0.41125,0.18375
1741711146.6678724,-0.926834,0.3639259999999999,0.1579289999999999,-0.21875,0.09625,-0.56
1741711146.6708338,-0.933727,0.361669,0.158356,0.9275,-0.5425000000000001,-0.6300000000000001
1741711146.6730602,-0.93757,0.360327,0.156587,1.6887500000000002,-0.8487500000000001,-0.5162500000000001
1741711146.6752913,-0.94916,0.365024,0.150975,1.88125,-0.8750000000000001,0.0875
1741711146.677605,-0.95404,0.3666709999999999,0.154269,1.6450000000000002,-0.8750000000000001,0.55125
1741711146.6809397,-0.950624,0.363438,0.152317,0.56,-0.805,1.0850000000000002
1741711146.684055,-0.944219,0.366732,0.1542079999999999,-1.56625,-0.58625,1.7062500000000005
1741711146.6876533,-0.931836,0.362706,0.153842,-2.75625,-0.3675,1.3562500000000002
1741711146.6900935,-0.924882,0.366915,0.1603689999999999,-2.5812500000000003,-0.175,0.7262500000000001
1741711146.6925735,-0.93147,0.361242,0.171654,-2.0475000000000003,-0.02625,0.4025
1741711146.6949322,-0.934032,0.361547,0.1640899999999999,-0.8225000000000001,0.16625,-0.20125
1741711146.697219,-0.93452,0.360815,0.163114,0.7875000000000001,0.2975,-0.3325
1741711146.699534,-0.939827,0.359656,0.160003,1.7587500000000005,0.04375,-0.385
1741711146.7026148,-0.938058,0.359595,0.15494,2.31,-0.035,0.27125
1741711146.705718,-0.945134,0.3589239999999999,0.148291,1.155,-0.2275,0.8400000000000001
1741711146.7081025,-0.94489,0.36295,0.148474,0.0175,-0.455,1.505
1741711146.7104137,-0.94001,0.3657559999999999,0.151646,-0.9275,-0.4025,1.7937500000000002
1741711146.713151,-0.937814,0.3669759999999999,0.151036,-1.89875,-0.48125,1.505
1741711146.716382,-0.93635,0.3657559999999999,0.157868,-2.10875,-0.49875,1.1462500000000002
1741711146.7191122,-0.931958,0.367403,0.162687,-1.4875,-0.5687500000000001,0.13125
1741711146.721638,-0.929945,0.366305,0.1640899999999999,1.7325000000000002,-0.455,-0.28875
1741711146.7238986,-0.934581,0.361913,0.160308,0.25375,-0.42,-0.27125
1741711146.7261035,-0.938668,0.363438,0.155977,0.7262500000000001,-0.4725,-0.2625
1741711146.7282894,-0.938058,0.3636209999999999,0.153354,0.7087500000000001,-0.385,0.07
1741711146.7312312,-0.944219,0.366,0.156587,0.5775,-0.4375,0.7612500000000001
1741711146.7336538,-0.941108,0.363865,0.164212,-2.0825,-0.42875,1.09375
1741711146.7362475,-0.941718,0.364292,0.154147,-0.63875,-0.2975,1.1375000000000002
1741711146.7385294,-0.942572,0.363316,0.151524,-1.05,-0.245,1.12875
1741711146.7408824,-0.937814,0.364292,0.156099,-1.2775,0.0,0.97125
1741711146.7432988,-0.932446,0.3672809999999999,0.157319,-1.4525,0.1925,0.8575
1741711146.745772,-0.934032,0.365024,0.156099,-1.155,0.1225,0.5337500000000001
1741711146.7483914,-0.927444,0.363255,0.158966,-0.2975,0.0,0.28875
