UTC,Latitude,Longitude
2025-03-25T16:19:31Z,49.38434333,1.06876167
2025-03-25T16:19:32Z,49.38434167,1.06876667
2025-03-25T16:19:33Z,49.38434167,1.06877000
2025-03-25T16:19:34Z,49.38434167,1.06877167
2025-03-25T16:19:35Z,49.38434167,1.06877167
2025-03-25T16:19:36Z,49.38434167,1.06877167
2025-03-25T16:19:37Z,49.38433167,1.06879167
2025-03-25T16:19:38Z,49.38432833,1.06880500
2025-03-25T16:19:39Z,49.38432500,1.06881333
2025-03-25T16:19:40Z,49.38432500,1.06882500
2025-03-25T16:19:41Z,49.38432667,1.06883667
2025-03-25T16:19:42Z,49.38432833,1.06884833
2025-03-25T16:19:43Z,49.38433000,1.06886333
2025-03-25T16:19:44Z,49.38433167,1.06887833
2025-03-25T16:19:45Z,49.38433167,1.06889333
2025-03-25T16:19:46Z,49.38433167,1.06890167
2025-03-25T16:19:47Z,49.38433000,1.06891333
2025-03-25T16:19:48Z,49.38432500,1.06892000
2025-03-25T16:19:49Z,49.38430167,1.06899000
2025-03-25T16:19:50Z,49.38430000,1.06900000
2025-03-25T16:19:51Z,49.38430000,1.06900667
2025-03-25T16:19:52Z,49.38429833,1.06901000
2025-03-25T16:19:53Z,49.38429333,1.06901167
2025-03-25T16:19:54Z,49.38429000,1.06901500
2025-03-25T16:19:55Z,49.38429000,1.06902167
2025-03-25T16:19:56Z,49.38429333,1.06902500
2025-03-25T16:19:57Z,49.38429333,1.06903000
2025-03-25T16:19:58Z,49.38429333,1.06903833
2025-03-25T16:19:59Z,49.38429167,1.06904500
2025-03-25T16:20:00Z,49.38429167,1.06905000
2025-03-25T16:20:01Z,49.38428667,1.06907167
2025-03-25T16:20:02Z,49.38428667,1.06907167
2025-03-25T16:20:03Z,49.38428667,1.06907167
2025-03-25T16:20:04Z,49.38428667,1.06907167
2025-03-25T16:20:05Z,49.38428667,1.06907167
2025-03-25T16:20:06Z,49.38428667,1.06907167
2025-03-25T16:20:07Z,49.38428667,1.06907167
2025-03-25T16:20:08Z,49.38428667,1.06907167
2025-03-25T16:20:09Z,49.38427333,1.06912333
2025-03-25T16:20:10Z,49.38427500,1.06913000
2025-03-25T16:20:11Z,49.38427500,1.06913333
2025-03-25T16:20:12Z,49.38427167,1.06914000
2025-03-25T16:20:13Z,49.38427167,1.06914000
2025-03-25T16:20:14Z,49.38426167,1.06918500
2025-03-25T16:20:15Z,49.38425667,1.06920000
2025-03-25T16:20:16Z,49.38425167,1.06924000
2025-03-25T16:20:17Z,49.38424333,1.06924833
2025-03-25T16:20:18Z,49.38425167,1.06924667
2025-03-25T16:20:19Z,49.38425333,1.06925333
2025-03-25T16:20:20Z,49.38425000,1.06929667
2025-03-25T16:20:21Z,49.38424500,1.06929833
2025-03-25T16:20:22Z,49.38424333,1.06931167
2025-03-25T16:20:23Z,49.38424333,1.06930833
2025-03-25T16:20:24Z,49.38425333,1.06931167
2025-03-25T16:20:25Z,49.38426500,1.06931667
2025-03-25T16:20:26Z,49.38425500,1.06934333
2025-03-25T16:20:27Z,49.38424333,1.06936333
2025-03-25T16:20:28Z,49.38424167,1.06936333
2025-03-25T16:20:29Z,49.38425667,1.06937833
2025-03-25T16:20:30Z,49.38426333,1.06939500
2025-03-25T16:20:31Z,49.38427000,1.06941000
2025-03-25T16:20:32Z,49.38425167,1.06942667
2025-03-25T16:20:33Z,49.38426667,1.06943667
2025-03-25T16:20:34Z,49.38428000,1.06944000
2025-03-25T16:20:35Z,49.38427167,1.06946667
2025-03-25T16:20:36Z,49.38426500,1.06948333
2025-03-25T16:20:37Z,49.38426000,1.06948833
2025-03-25T16:20:38Z,49.38425333,1.06949833
2025-03-25T16:20:39Z,49.38424667,1.06951167
2025-03-25T16:20:40Z,49.38424167,1.06952667
