UTC,Latitude,Longitude
2025-03-25T16:26:42Z,49.38431167,1.06880667
2025-03-25T16:26:43Z,49.38431333,1.06881000
2025-03-25T16:26:44Z,49.38431833,1.06881833
2025-03-25T16:26:45Z,49.38432667,1.06883167
2025-03-25T16:26:46Z,49.38432833,1.06883833
2025-03-25T16:26:47Z,49.38433000,1.06884167
2025-03-25T16:26:48Z,49.38433500,1.06885333
2025-03-25T16:26:49Z,49.38433667,1.06886333
2025-03-25T16:26:50Z,49.38433167,1.06887333
2025-03-25T16:26:51Z,49.38433333,1.06888833
2025-03-25T16:26:52Z,49.38433167,1.06889833
2025-03-25T16:26:53Z,49.38433333,1.06890000
2025-03-25T16:26:54Z,49.38433167,1.06889667
2025-03-25T16:26:55Z,49.38432667,1.06890500
2025-03-25T16:26:56Z,49.38432167,1.06890667
2025-03-25T16:26:57Z,49.38431000,1.06891667
2025-03-25T16:26:58Z,49.38430167,1.06892833
2025-03-25T16:26:59Z,49.38429500,1.06893833
2025-03-25T16:27:00Z,49.38429167,1.06895167
2025-03-25T16:27:01Z,49.38428833,1.06896167
2025-03-25T16:27:02Z,49.38428167,1.06897333
2025-03-25T16:27:03Z,49.38427333,1.06899167
2025-03-25T16:27:04Z,49.38426833,1.06901167
2025-03-25T16:27:05Z,49.38426167,1.06902833
2025-03-25T16:27:06Z,49.38425833,1.06904000
2025-03-25T16:27:07Z,49.38425333,1.06905167
2025-03-25T16:27:08Z,49.38425000,1.06906833
2025-03-25T16:27:09Z,49.38424833,1.06908167
2025-03-25T16:27:10Z,49.38424333,1.06909333
2025-03-25T16:27:11Z,49.38423667,1.06910167
2025-03-25T16:27:12Z,49.38423667,1.06911167
2025-03-25T16:27:13Z,49.38423667,1.06912167
2025-03-25T16:27:14Z,49.38423667,1.06913167
2025-03-25T16:27:15Z,49.38423000,1.06914333
2025-03-25T16:27:16Z,49.38422333,1.06915333
2025-03-25T16:27:17Z,49.38422167,1.06916000
2025-03-25T16:27:18Z,49.38421833,1.06916667
2025-03-25T16:27:19Z,49.38421667,1.06917833
2025-03-25T16:27:20Z,49.38421333,1.06918667
2025-03-25T16:27:21Z,49.38420833,1.06920000
2025-03-25T16:27:22Z,49.38420000,1.06922333
2025-03-25T16:27:23Z,49.38420167,1.06922667
2025-03-25T16:27:24Z,49.38419167,1.06925333
2025-03-25T16:27:25Z,49.38416333,1.06927667
2025-03-25T16:27:26Z,49.38414000,1.06929833
2025-03-25T16:27:27Z,49.38411667,1.06937667
2025-03-25T16:27:28Z,49.38410167,1.06941167
2025-03-25T16:27:29Z,49.38417500,1.06944500
2025-03-25T16:27:30Z,49.38414000,1.06945667
2025-03-25T16:27:31Z,49.38411500,1.06949333
2025-03-25T16:27:32Z,49.38412333,1.06950667
2025-03-25T16:27:33Z,49.38412333,1.06953000
2025-03-25T16:27:34Z,49.38414167,1.06952500
2025-03-25T16:27:35Z,49.38415333,1.06957833
2025-03-25T16:27:36Z,49.38416000,1.06957667
2025-03-25T16:27:37Z,49.38417667,1.06957667
2025-03-25T16:27:38Z,49.38418000,1.06963500
2025-03-25T16:27:39Z,49.38418500,1.06964500
2025-03-25T16:27:40Z,49.38418500,1.06972167
2025-03-25T16:27:41Z,49.38418833,1.06979000
2025-03-25T16:27:42Z,49.38419167,1.06984333
2025-03-25T16:27:43Z,49.38420500,1.06983333
2025-03-25T16:27:44Z,49.38420500,1.06982000
2025-03-25T16:27:45Z,49.38421333,1.06978167
2025-03-25T16:27:46Z,49.38421333,1.06977333
2025-03-25T16:27:47Z,49.38421000,1.06977167
2025-03-25T16:27:48Z,49.38420667,1.06978333
2025-03-25T16:27:49Z,49.38420833,1.06979500
2025-03-25T16:27:50Z,49.38420833,1.06980833
2025-03-25T16:27:51Z,49.38420500,1.06982333
2025-03-25T16:27:52Z,49.38420167,1.06984000
2025-03-25T16:27:53Z,49.38420500,1.06985500
2025-03-25T16:27:54Z,49.38420500,1.06987167
2025-03-25T16:27:55Z,49.38420833,1.06988833
2025-03-25T16:27:56Z,49.38421667,1.06990000
2025-03-25T16:27:57Z,49.38422167,1.06991500
2025-03-25T16:27:58Z,49.38422333,1.06993000
2025-03-25T16:27:59Z,49.38422833,1.06994667
2025-03-25T16:28:00Z,49.38422667,1.06996500
2025-03-25T16:28:01Z,49.38422333,1.06998333
2025-03-25T16:28:02Z,49.38421833,1.07000167
2025-03-25T16:28:03Z,49.38421667,1.07002333
2025-03-25T16:28:04Z,49.38421500,1.07004667
2025-03-25T16:28:05Z,49.38421000,1.07006833
2025-03-25T16:28:06Z,49.38421167,1.07008667
2025-03-25T16:28:07Z,49.38421333,1.07010333
2025-03-25T16:28:08Z,49.38421333,1.07011667
2025-03-25T16:28:09Z,49.38421667,1.07013000
2025-03-25T16:28:10Z,49.38422000,1.07014500
2025-03-25T16:28:11Z,49.38422000,1.07016000
2025-03-25T16:28:12Z,49.38422333,1.07017667
2025-03-25T16:28:13Z,49.38422167,1.07019167
2025-03-25T16:28:14Z,49.38422000,1.07020500
2025-03-25T16:28:15Z,49.38421333,1.07021667
2025-03-25T16:28:16Z,49.38421500,1.07023167
2025-03-25T16:28:17Z,49.38421667,1.07025000
2025-03-25T16:28:18Z,49.38421167,1.07027000
2025-03-25T16:28:19Z,49.38420667,1.07029000
2025-03-25T16:28:20Z,49.38421500,1.07031500
2025-03-25T16:28:21Z,49.38421500,1.07033833
2025-03-25T16:28:22Z,49.38421333,1.07036000
2025-03-25T16:28:23Z,49.38420667,1.07037333
2025-03-25T16:28:24Z,49.38420500,1.07039167
2025-03-25T16:28:25Z,49.38420667,1.07041000
2025-03-25T16:28:26Z,49.38420667,1.07042500
2025-03-25T16:28:27Z,49.38421000,1.07043833
2025-03-25T16:28:28Z,49.38422667,1.07045333
2025-03-25T16:28:29Z,49.38424333,1.07046833
2025-03-25T16:28:30Z,49.38426000,1.07048000
2025-03-25T16:28:31Z,49.38427333,1.07049333
2025-03-25T16:28:32Z,49.38428667,1.07050500
2025-03-25T16:28:33Z,49.38429500,1.07050833
2025-03-25T16:28:34Z,49.38429833,1.07051167
2025-03-25T16:28:35Z,49.38430500,1.07051000
2025-03-25T16:28:36Z,49.38430333,1.07050167
2025-03-25T16:28:37Z,49.38430333,1.07048667
2025-03-25T16:28:38Z,49.38430667,1.07047167
2025-03-25T16:28:39Z,49.38430833,1.07045500
2025-03-25T16:28:40Z,49.38431000,1.07044500
2025-03-25T16:28:41Z,49.38430500,1.07043000
2025-03-25T16:28:42Z,49.38430667,1.07041000
2025-03-25T16:28:43Z,49.38430500,1.07039333
2025-03-25T16:28:44Z,49.38430667,1.07038167
2025-03-25T16:28:45Z,49.38431167,1.07036667
2025-03-25T16:28:46Z,49.38431167,1.07034667
2025-03-25T16:28:47Z,49.38431000,1.07032667
2025-03-25T16:28:48Z,49.38430833,1.07030333
2025-03-25T16:28:49Z,49.38430500,1.07028167
2025-03-25T16:28:50Z,49.38430167,1.07026500
2025-03-25T16:28:51Z,49.38430000,1.07024667
2025-03-25T16:28:52Z,49.38430500,1.07023167
2025-03-25T16:28:53Z,49.38430167,1.07021333
2025-03-25T16:28:54Z,49.38430500,1.07019500
2025-03-25T16:28:55Z,49.38430833,1.07017833
2025-03-25T16:28:56Z,49.38431000,1.07016333
2025-03-25T16:28:57Z,49.38431000,1.07013833
2025-03-25T16:28:58Z,49.38430500,1.07011833
2025-03-25T16:28:59Z,49.38430500,1.07009833
2025-03-25T16:29:00Z,49.38429833,1.07007333
2025-03-25T16:29:01Z,49.38429833,1.07005500
2025-03-25T16:29:02Z,49.38430000,1.07003167
2025-03-25T16:29:03Z,49.38429333,1.07000667
2025-03-25T16:29:04Z,49.38428833,1.06998833
2025-03-25T16:29:05Z,49.38428500,1.06997167
2025-03-25T16:29:06Z,49.38428333,1.06995333
2025-03-25T16:29:07Z,49.38428333,1.06993500
2025-03-25T16:29:08Z,49.38428333,1.06991500
2025-03-25T16:29:09Z,49.38428000,1.06989667
2025-03-25T16:29:10Z,49.38428000,1.06987667
2025-03-25T16:29:11Z,49.38427833,1.06985667
2025-03-25T16:29:12Z,49.38427500,1.06983500
2025-03-25T16:29:13Z,49.38427500,1.06981833
2025-03-25T16:29:14Z,49.38427667,1.06980000
2025-03-25T16:29:15Z,49.38428000,1.06978167
2025-03-25T16:29:16Z,49.38428000,1.06976167
2025-03-25T16:29:17Z,49.38427667,1.06974500
2025-03-25T16:29:18Z,49.38427500,1.06972833
2025-03-25T16:29:19Z,49.38427333,1.06971000
2025-03-25T16:29:20Z,49.38427333,1.06969167
2025-03-25T16:29:21Z,49.38427500,1.06967333
2025-03-25T16:29:22Z,49.38427833,1.06965500
2025-03-25T16:29:23Z,49.38428500,1.06964333
2025-03-25T16:29:24Z,49.38428500,1.06962833
2025-03-25T16:29:25Z,49.38429833,1.06962000
2025-03-25T16:29:26Z,49.38430833,1.06961167
2025-03-25T16:29:27Z,49.38430667,1.06959833
2025-03-25T16:29:28Z,49.38430000,1.06957833
2025-03-25T16:29:29Z,49.38429833,1.06956667
2025-03-25T16:29:30Z,49.38429500,1.06956000
2025-03-25T16:29:31Z,49.38429167,1.06954167
2025-03-25T16:29:32Z,49.38428667,1.06952000
2025-03-25T16:29:33Z,49.38428667,1.06951167
2025-03-25T16:29:34Z,49.38428667,1.06950167
2025-03-25T16:29:35Z,49.38429333,1.06949167
2025-03-25T16:29:36Z,49.38430000,1.06948000
2025-03-25T16:29:37Z,49.38430333,1.06946833
2025-03-25T16:29:38Z,49.38431000,1.06941500
2025-03-25T16:29:39Z,49.38432500,1.06941667
2025-03-25T16:29:40Z,49.38434500,1.06942167
2025-03-25T16:29:41Z,49.38435833,1.06942500
2025-03-25T16:29:42Z,49.38435667,1.06941000
2025-03-25T16:29:43Z,49.38435333,1.06939500
2025-03-25T16:29:44Z,49.38435667,1.06939667
2025-03-25T16:29:45Z,49.38436333,1.06939500
2025-03-25T16:29:46Z,49.38435833,1.06938333
2025-03-25T16:29:47Z,49.38436167,1.06937333
2025-03-25T16:29:48Z,49.38436167,1.06936333
2025-03-25T16:29:49Z,49.38436500,1.06936333
2025-03-25T16:29:50Z,49.38437500,1.06937000
2025-03-25T16:29:51Z,49.38438000,1.06937333
2025-03-25T16:29:52Z,49.38438167,1.06936333
2025-03-25T16:29:53Z,49.38438333,1.06936167
2025-03-25T16:29:54Z,49.38438500,1.06935833
2025-03-25T16:29:55Z,49.38438833,1.06935000
2025-03-25T16:29:56Z,49.38438833,1.06935000
2025-03-25T16:29:57Z,49.38438833,1.06935000
2025-03-25T16:29:58Z,49.38438833,1.06935000
2025-03-25T16:29:59Z,49.38438833,1.06935000
2025-03-25T16:30:00Z,49.38444500,1.06929500
2025-03-25T16:30:01Z,49.38445833,1.06927833
2025-03-25T16:30:02Z,49.38446167,1.06926333
2025-03-25T16:30:03Z,49.38445833,1.06925167
2025-03-25T16:30:04Z,49.38445667,1.06924833
2025-03-25T16:30:05Z,49.38443667,1.06922667
2025-03-25T16:30:06Z,49.38441667,1.06920333
2025-03-25T16:30:07Z,49.38441500,1.06917167
2025-03-25T16:30:08Z,49.38437667,1.06911000
2025-03-25T16:30:09Z,49.38435167,1.06905500
2025-03-25T16:30:10Z,49.38436167,1.06902167
2025-03-25T16:30:11Z,49.38438333,1.06899500
2025-03-25T16:30:12Z,49.38441000,1.06898667
2025-03-25T16:30:13Z,49.38444000,1.06897833
2025-03-25T16:30:14Z,49.38446833,1.06898000
2025-03-25T16:30:15Z,49.38447667,1.06898333
2025-03-25T16:30:16Z,49.38448167,1.06898167
2025-03-25T16:30:17Z,49.38448833,1.06897667
2025-03-25T16:30:18Z,49.38449500,1.06896833
2025-03-25T16:30:19Z,49.38450833,1.06895500
2025-03-25T16:30:20Z,49.38451833,1.06895167
2025-03-25T16:30:21Z,49.38452667,1.06893500
2025-03-25T16:30:22Z,49.38453167,1.06892833
2025-03-25T16:30:23Z,49.38454500,1.06888500
2025-03-25T16:30:24Z,49.38453000,1.06886000
2025-03-25T16:30:25Z,49.38452500,1.06884167
2025-03-25T16:30:26Z,49.38452167,1.06882333
2025-03-25T16:30:27Z,49.38452167,1.06881000
2025-03-25T16:30:28Z,49.38452000,1.06879833
